  .01  .0014943153  .217591599
  .02  .0029886306  .0463536445
  .03  .0044829459 -.203671039
  .04  .00597726119 -.492209334
  .05  .00747157649 -.802731935
  .06  .00896589179 -1.12647431
  .07  .0104602071 -1.45812697
  .08  .0119545224 -1.7941977
  .09  .0134488377 -2.13225888
  .1  .014943153 -2.47055583
  .11  .0164374683 -2.80778388
  .12  .0179317836 -3.14295281
  .13  .0194260989 -3.47529983
  .14  .0209204142 -3.8042314
  .15  .0224147295 -4.12928276
  .16  .0239090448 -4.45008911
  .17  .0254033601 -4.76636447
  .18  .0268976754 -5.07788576
  .19  .0283919907 -5.38448077
  .2  .029886306 -5.6860187
  .21  .0313806213 -5.98240278
  .22  .0328749366 -6.27356433
  .23  .0343692519 -6.55945802
  .24  .0358635672 -6.84005793
  .25  .0373578825 -7.11535436
  .26  .0388521978 -7.38535117
  .27  .0403465131 -7.65006355
  .28  .0418408284 -7.90951614
  .29  .0433351437 -8.16374148
  .3  .044829459 -8.41277862
  .31  .0463237743 -8.65667202
  .32  .0478180896 -8.89547054
  .33  .0493124049 -9.12922664
  .34  .0508067201 -9.3579956
  .35  .0523010354 -9.58183496
  .36  .0537953507 -9.80080396
  .37  .055289666 -10.0149631
  .38  .0567839813 -10.2243736
  .39  .0582782966 -10.4290974
  .4  .0597726119 -10.6291964
  .41  .0612669272 -10.8247327
  .42  .0627612425 -11.015768
  .43  .0642555578 -11.2023635
  .44  .0657498731 -11.38458
  .45  .0672441884 -11.5624772
  .46  .0687385037 -11.7361144
  .47  .070232819 -11.9055496
  .48  .0717271343 -12.07084
  .49  .0732214496 -12.2320416
  .5  .0747157649 -12.3892092
  .51  .0762100802 -12.5423966
  .52  .0777043955 -12.6916562
  .53  .0791987108 -12.8370395
  .54  .0806930261 -12.9785963
  .55  .0821873414 -13.1163756
  .56  .0836816567 -13.2504248
  .57  .085175972 -13.3807902
  .58  .0866702873 -13.5075169
  .59  .0881646026 -13.6306487
  .6  .0896589179 -13.7502282
  .61  .0911532332 -13.8662967
  .62  .0926475485 -13.9788946
  .63  .0941418638 -14.0880609
  .64  .0956361791 -14.1938335
  .65  .0971304944 -14.2962491
  .66  .0986248097 -14.3953436
  .67  .100119125 -14.4911515
  .68  .10161344 -14.5837064
  .69  .103107756 -14.6730409
  .7  .104602071 -14.7591867
  .71  .106096386 -14.8421743
  .72  .107590701 -14.9220334
  .73  .109085017 -14.9987929
  .74  .110579332 -15.0724805
