!Pressure
! rho(fm-3) rho/rho_0 SNM PNM(SOFT) PNM(STIFF)
   
0.32 	 2.00E+00        7.4    1.58E+01      	3.08E+01
0.36 	 2.25E+00	10.5	2.06E+01 	4.03E+01
0.4 	 2.50E+00	15.9	2.79E+01 	5.29E+01
0.44 	 2.75E+00	20.9	3.49E+01 	6.59E+01
0.48 	 3.00E+00	25.8	4.19E+01 	7.94E+01
0.56 	 3.50E+00	40.9	6.15E+01 	1.14E+02
0.64 	 4.00E+00	55.3	8.09E+01 	1.51E+02
0.72 	 4.50E+00	57.1	8.81E+01 	1.79E+02
0.736 	 4.60E+00	57.1	8.92E+01 	1.84E+02
0.736 	 4.60E+00	209 	2.41E+02 	3.36E+02
7.20E-01 4.50E+00       201	2.32E+02 	3.22E+02
0.64 	 4.00E+00	156	1.82E+02 	2.52E+02
0.56 	 3.50E+00	116	1.37E+02 	1.89E+02
0.48 	 3.00E+00	73.4	8.95E+01 	1.27E+02
4.40E-01 2.75E+00	56.6	7.06E+01 	1.02E+02
4.00E-01 2.50E+00	36.8	4.88E+01 	7.38E+01
3.20E-01 2.00E+00	13.5	2.19E+01 	3.69E+01
3.20E-01 2.00E+00	7.4	1.58E+01 	3.079E+01
